issue_hour,group,MAE_kW,RMSE_kW,bias_forecast_minus_actual_kW,n
0,all,340.57019308789955,563.6585319333933,-26.96246466704719,8760
0,daytime,628.9751343734627,766.0225748854741,-49.76288453861833,4743
0,nighttime,0.04128183138328769,0.15303500225614897,-0.04128183138328769,4017
0,horizon_1,0.0,0.0,0.0,365
0,horizon_2,0.0,0.0,0.0,365
0,horizon_3,0.0,0.0,0.0,365
0,horizon_4,0.0007415068493150685,0.0014911558141590894,-0.0007415068493150685,365
0,horizon_5,0.3106989497716895,1.0237924430517018,0.08539219178082191,365
0,horizon_6,214.38415360730596,326.43953781404554,214.21365269406394,365
0,horizon_7,524.7250804566211,606.6885871413006,524.5990335159817,365
0,horizon_8,733.0547367123287,784.4006204697268,733.0039634703196,365
0,horizon_9,686.8430069863014,790.2503393320725,665.6446353881279,365
0,horizon_10,611.1240687671233,741.123660732552,463.76140337899545,365
0,horizon_11,597.6927836529679,732.7662283079637,263.70697671232875,365
0,horizon_12,599.6728334703197,758.8518859534989,7.207375844748874,365
0,horizon_13,657.1304899543379,838.6455464774746,-260.6650094063928,365
0,horizon_14,704.1593857990867,907.2777460967944,-501.6445825114155,365
0,horizon_15,765.5508989041095,958.9491280939573,-688.3617407305935,365
0,horizon_16,812.2393963013699,926.6274776607053,-801.8688809589039,365
0,horizon_17,760.6846889497718,806.2939335609457,-760.6689600000002,365
0,horizon_18,399.5041508219178,508.576567345506,-399.5041508219178,365
0,horizon_19,106.45846497716896,187.4024531988506,-106.45846497716896,365
0,horizon_20,0.14831410958904107,0.29127127786869633,-0.14831410958904107,365
0,horizon_21,0.0007401826484018265,0.0014879367795607309,-0.0007401826484018265,365
0,horizon_22,0.0,0.0,0.0,365
0,horizon_23,0.0,0.0,0.0,365
0,horizon_24,0.0,0.0,0.0,365
6,all,300.1690570463026,473.67217303624926,-8.843887702764455,8754
6,daytime,553.977215580856,643.50891849962,-16.287877096071416,4743
6,nighttime,0.0413841643812848,0.15326128184517393,-0.0413841643812848,4011
6,horizon_1,533.0840092237443,603.9056341557562,532.9580800913243,365
6,horizon_2,747.1196486757991,764.5872178607873,747.1196486757991,365
6,horizon_3,694.699420045662,729.5333205628962,694.2015663470319,365
6,horizon_4,539.7813519634703,612.9691944766554,519.7096411872146,365
6,horizon_5,422.5707694063926,503.82158759763234,313.09599561643836,365
6,horizon_6,387.37876004566215,483.6474220064226,61.48564817351597,365
6,horizon_7,464.4282087671233,585.2349013838174,-204.73490420091332,365
6,horizon_8,531.5052341095891,668.133414715637,-448.6877386757991,365
6,horizon_9,656.6698364383561,761.035489943633,-635.319983196347,365
6,horizon_10,752.1505324657535,812.4278830872175,-747.102531369863,365
6,horizon_11,749.2827728767123,773.8610300712161,-749.2827728767123,365
6,horizon_12,398.36112315068493,503.70499056912473,-398.36112315068493,365
6,horizon_13,106.44633374429226,187.37534724982038,-106.44633374429226,365
6,horizon_14,0.14831410958904107,0.29127127786869633,-0.14831410958904107,365
6,horizon_15,0.0007401826484018265,0.0014879367795607309,-0.0007401826484018265,365
6,horizon_16,0.0,0.0,0.0,365
6,horizon_17,0.0,0.0,0.0,365
6,horizon_18,0.0,0.0,0.0,365
6,horizon_19,0.0,0.0,0.0,364
6,horizon_20,0.0,0.0,0.0,364
6,horizon_21,0.0,0.0,0.0,364
6,horizon_22,0.0007435439560439561,0.001493202700248464,-0.0007435439560439561,364
6,horizon_23,0.33722669413919415,1.1709428454028368,0.11037733516483515,364
6,horizon_24,215.75007985347986,347.2845042753307,209.87159276556778,364
12,all,382.61640729881117,680.9041522510154,-38.05859132944673,8748
12,daytime,706.7065695910754,925.4107024897673,-70.26404972198762,4736
12,nighttime,0.04138022598870056,0.15316564467707564,-0.04138022598870056,4012
12,horizon_1,267.91445872146124,332.2383926097978,-172.36317022831054,365
12,horizon_2,418.1179864383562,481.00305246528217,-404.5857882648402,365
12,horizon_3,615.039651324201,656.8407401577015,-610.9919166210046,365
12,horizon_4,723.5086620547946,751.0299873216345,-723.5086620547946,365
12,horizon_5,737.5486701369863,751.9438299736963,-737.5486701369863,365
