model,total_cost,plan_cost,emergency_cost,daily_q95
persistence,15154576.609726889,13529597.480424646,1624979.129302242,77287.74995445249
previous_day,15392778.783782989,13513492.90929818,1879285.874484809,75607.02778844723
previous_week_same_time,15226925.424631234,13506040.788132498,1720884.636498737,77045.94124210271
moving_average_7,15351707.805386381,13458605.017106116,1893102.7882802666,74684.37626188956
exponential_smoothing,15303954.084687375,13481685.950759785,1822268.1339275888,74150.1171189538
ARIMA_curve,15374165.528093915,13481773.401806254,1892392.1262876617,74829.64961736598
SARIMA_curve,15253406.506719692,13497144.589850692,1756261.9168689994,77632.40410623947
Fourier,15206995.797679517,13487627.010137198,1719368.7875423182,76676.55831610982
Fourier_AR,15269772.254904248,13488894.291835273,1780877.9630689751,76935.94110833721
Prophet_like,15206995.797679517,13487627.010137198,1719368.7875423182,76676.55831610982
AR_GARCH,15359569.327380812,13485395.803572152,1874173.5238086605,75256.2636788028
Random_Forest,15185878.76175324,13519319.300825205,1666559.460928036,76469.0914765452
HistGB_XGB_fallback,15159605.565679045,13517053.443729714,1642552.1219493314,74232.84166357561
Quantile_HistGB_LGBM_fallback,15190429.425322372,13492218.109585429,1698211.3157369425,75149.37047188812
causal_ensemble,15302791.540304262,13466163.633409413,1836627.9068948494,75868.91976133721
