model,MAE,RMSE,bias,q95_abs_error,runtime_s
persistence,0.3498832002661344,0.46508635204509724,-0.3293209331337325,0.8854,0.00047169999743346125
previous_day,0.08432593978709249,0.12383718140836511,-0.0005953551230871593,0.2956,0.0001508999994257465
previous_week_same_time,0.04715118305056554,0.06534801504178886,-0.00015473843978709224,0.12390000000000001,0.00015910000365693122
moving_average_7,0.08266928345689574,0.1052650947390656,-0.00032801420967588577,0.2192821428571429,0.0013710999992326833
exponential_smoothing,0.08932330080476471,0.11491295185117696,-0.0004975473276238726,0.2388995314682474,0.11945209999976214
ARIMA_curve,0.0814950803788074,0.1118514382382899,0.007078817166792628,0.24776187547363773,0.06664520000049379
SARIMA_curve,0.045661676027081294,0.06220981542798511,-0.005600137041241541,0.12107162348450146,0.1726115999990725
Fourier,0.06621295680364621,0.08605336806001872,-0.004465023571127445,0.17551875041771547,0.2773942999992869
Fourier_AR,0.06620171476385127,0.08616776576917896,-0.004360517991179045,0.17595357732680994,0.6998784000024898
Prophet_like,0.06621295680364621,0.08605336806001872,-0.004465023571127445,0.17551875041771547,0.2770791000002646
AR_GARCH,0.0813957652083315,0.11175912339285679,0.007078957579462748,0.24782882901293385,10.645615200002794
Random_Forest,0.04795157124436999,0.06825452248017544,-0.0007133602616918122,0.13569822991071426,23.17614820000017
HistGB_XGB_fallback,0.0432150421878267,0.06051762527310168,-0.002692065731823568,0.11672413146968347,7.368318399996497
Quantile_HistGB_LGBM_fallback,0.053923855549196736,0.07162324352391254,0.03528969667367735,0.14129027572349648,13.648571400000947
causal_ensemble,0.04427998730063131,0.05940964362532567,-0.001794506908084416,0.11931924517684744,0
